epoch,loss,loss_contrastive_divergence,loss_regularization,lr-Adam,metrics_avg_fake,metrics_avg_real,step,val_contrastive_divergence,val_fake_out,val_real_out
,,,,0.0001,,,0,,,
0,-0.652931272983551,-0.6779345273971558,0.02500324323773384,,-0.40738701820373535,0.2705475091934204,49,,,
0,-4.6443071365356445,-8.325517654418945,3.6812102794647217,,-4.300004959106445,4.025512218475342,99,,,
0,-4.965702533721924,-9.910486221313477,4.944783687591553,,-4.917669773101807,4.992815971374512,149,,,
0,-4.986382007598877,-9.748210906982422,4.761828899383545,,-4.995387554168701,4.752823829650879,199,,,
0,-4.993497371673584,-9.978038787841797,4.984541416168213,,-4.8895583152771,5.0884809494018555,249,,,
0,-4.995616436004639,-9.849727630615234,4.854111194610596,,-4.8992486000061035,4.950479030609131,299,,,
0,-4.996975421905518,-9.879293441772461,4.882318019866943,,-4.982243061065674,4.897049903869629,349,,,
0,-4.994645118713379,-10.167394638061523,5.1727495193481445,,-5.1696319580078125,4.997762203216553,399,,,
0,-4.994323253631592,-9.978035926818848,4.983712673187256,,-5.127289772033691,4.850746154785156,449,,,
0,-4.99478816986084,-10.20584487915039,5.211056709289551,,-5.185817718505859,5.020027160644531,499,,,
0,-4.996052265167236,-10.2039794921875,5.207927227020264,,-5.178528308868408,5.025450706481934,549,,,
0,-4.997043132781982,-9.888239860534668,4.8911967277526855,,-4.870606422424316,5.017633438110352,599,,,
0,-4.99797248840332,-9.931998252868652,4.934025764465332,,-4.8976359367370605,5.034362316131592,649,,,
0,-4.998198509216309,-9.92782974243164,4.929631233215332,,-4.913021087646484,5.014808654785156,699,,,
0,-4.998263359069824,-9.99710750579834,4.998844146728516,,-4.9438323974609375,5.053275108337402,749,,,
0,-4.998739719390869,-9.995580673217773,4.996840953826904,,-4.952291965484619,5.0432891845703125,799,,,
0,-4.999072551727295,-9.94283676147461,4.9437642097473145,,-4.956389427185059,4.986446857452393,849,,,
0,,,,,,,880,67.23846435546875,2.2770068645477295,-64.96146392822266
,,,,9.7e-05,,,881,,,
1,-4.998785495758057,-9.982942581176758,4.984157085418701,,-5.050323486328125,4.932619571685791,899,,,
1,-4.99882698059082,-10.067224502563477,5.068397521972656,,-5.083169937133789,4.984054088592529,949,,,
1,-4.998150825500488,-9.990031242370605,4.991880416870117,,-5.079366207122803,4.910665035247803,999,,,
1,-4.998074531555176,-10.026678085327148,5.028603553771973,,-5.0962700843811035,4.930408477783203,1049,,,
1,-4.997741222381592,-10.040898323059082,5.04315710067749,,-5.112828731536865,4.928069591522217,1099,,,
1,-4.997267246246338,-10.058172225952148,5.0609049797058105,,-5.131198406219482,4.926973342895508,1149,,,
