epoch,train_loss,train_acc,test_loss,test_acc
1,0.6523326228715871,0.8435509308039794,0.289430273241467,0.9031353942349426
2,0.2632102884352207,0.9154526604546441,0.2511332154273987,0.9092571030315171
3,0.2281977883295009,0.9239370245682565,0.21372393469015757,0.9212074475410656
4,0.21008452247632178,0.9280395061649077,0.21620758523543676,0.9195233858548677
5,0.20188536373408217,0.9302587631850215,0.20980445279015436,0.9250563010191306
6,0.1956908713438009,0.9321930511653075,0.2147547346022394,0.9232481345152244
7,0.19276992478653004,0.9328686050504272,0.1987913521627585,0.9272615090394631
8,0.185419927655082,0.9354375248066863,0.1971742911471261,0.9271420861920739
9,0.18101360227324462,0.9364383675201594,0.20014959962831602,0.9282797658545339
10,0.18047426427273375,0.9360210307160317,0.19436703274647396,0.9277916802300348
11,0.17738116501193296,0.9374148854038171,0.19482490022977192,0.9285570584810697
12,0.17326961124413892,0.9387462638274968,0.18928283419873979,0.9301418989132613
13,0.16968712338099354,0.9396231623420939,0.19754402877555954,0.9288763192983774
14,0.1679992470106012,0.9402633756224873,0.19190714781483015,0.9300197373088608
15,0.16665933785077772,0.9402835868255437,0.19356494049231213,0.928611077202691
16,0.1632279750155775,0.9415605377732661,0.19624204047852092,0.9314322447165465
17,0.16026324668997213,0.9425002784059758,0.1920922207335631,0.9300150162134415
18,0.15698229897963373,0.9438558567337126,0.1877324405643675,0.9315256232889289
19,0.15900934616986073,0.9428921303553888,0.1907648392021656,0.9312522431724092
20,0.1563286869149459,0.943618453176398,0.1811761811375618,0.9353881444686498
21,0.14177840669688427,0.9485248454132973,0.17838595352239078,0.9366183419512887
22,0.138599022124943,0.9492195530941612,0.17793799282775985,0.9367663391634948
23,0.13755921421474532,0.9495581152843453,0.17626894472373855,0.9369700896434295
24,0.13520842647474063,0.95057731762267,0.17775008637044165,0.936863030327691
25,0.13438665451187837,0.9503931993629501,0.17943976422150928,0.9361395028921274
26,0.1340331998114523,0.9506263152897707,0.18040889634026422,0.9377876999031785
27,0.1316268363673436,0.951497855381659,0.1840584432085355,0.9361953996185564
28,0.12966230201878046,0.9520358615451389,0.18039914435810514,0.9381851848374065
29,0.12929193932366997,0.9519950465152138,0.17941364488667913,0.936826891776843
30,0.1281164785356898,0.9524761891504478,0.1831819314095709,0.937516836834769
31,0.12636376713451586,0.9529128359075177,0.18490105486578412,0.9364254291240985
32,0.12444977777961054,0.9536223115976791,0.1853850776122676,0.9379766219701523
33,0.12432437441066692,0.9537118521350169,0.18666614401671622,0.9361604869875134
34,0.1251092992919056,0.9533147399188483,0.18529130236970054,0.9373922233907586
35,0.12185390313204966,0.9544552139371459,0.18582749490936598,0.9387323363214476
36,0.12043259192846323,0.9549375433670847,0.18907477979858717,0.9374737470577925
37,0.1210898312494943,0.9546200579369974,0.18461782849497266,0.9386217557466948
38,0.11915363173343634,0.9552701091208653,0.19118818425469927,0.9365943582648906
39,0.11771394779023371,0.9559818379363121,0.18386643926302593,0.938492903750167
40,0.12051562970798267,0.9550812927603024,0.19017630451255374,0.937484363001636
41,0.11345116992137934,0.9573157505682338,0.18759283704890145,0.938978746202257
42,0.10923215468463145,0.9586654083073488,0.18945443398422665,0.9387673924111913
43,0.10799898593441436,0.9591077347247922,0.1897156596183777,0.9388358874198719
44,0.10725811945372506,0.959353900931732,0.1924821121825112,0.9395114866077391
45,0.10701659951162966,0.9593991151330067,0.19181044581863615,0.9383798061273038
46,0.10585461814740771,0.9598583556058113,0.19567659522096317,0.9389681563418135
47,0.10505744065893324,0.960004715055053,0.19315025524960625,0.9393902509640425
48,0.10477582114307504,0.9601644281755415,0.19122945302062563,0.9403361393855169
49,0.10408610429026578,0.9603019491273758,0.19521822283665338,0.9384631947574452
50,0.1042660307531294,0.960215139110186,0.19507568230231603,0.9389059083074587
