epoch,train_loss,train_acc,test_loss,test_acc
1,0.6972658041864633,0.7780793128654971,0.40285413414239885,0.8851762820512821
2,0.2842285889642019,0.9107730263157895,0.3906315792765882,0.8849893162393163
3,0.2044359457532042,0.9370888157894737,0.30356214940547943,0.9075587606837607
4,0.1778385349635133,0.9449013157894737,0.22462734747678043,0.9379540598290599
5,0.14731132563840793,0.954358552631579,0.3143735727916161,0.8964476495726497
6,0.1339813302007602,0.9579312865497077,0.19406998029185665,0.9427083333333334
7,0.11465054173880306,0.9652138157894737,0.26953104607140027,0.9231837606837607
8,0.11208763366785685,0.9652138157894737,0.17688758679044744,0.9483707264957265
9,0.10494412353819874,0.9678453947368421,0.20611884471856887,0.9428952991452991
10,0.10520215788672335,0.9680098684210526,0.21133636908812656,0.9405715811965811
11,0.09689523583449619,0.9691154970760235,0.187067617662251,0.9487980769230769
12,0.08929867317753011,0.9722039473684211,0.17732999541331082,0.9569444444444445
13,0.08512144602014143,0.9740131578947369,0.1758415615755237,0.9558226495726496
14,0.0845703825173826,0.9742598684210526,0.19213860662809262,0.9487980769230769
15,0.07845608069941304,0.975529970760234,0.18718478604116373,0.9487980769230769
16,0.07290919191191757,0.9766447368421053,0.15740427470041646,0.9609508547008546
17,0.08233157110042061,0.9737664473684211,0.1650233667809516,0.9554754273504275
18,0.07180591416361398,0.9783717105263158,0.16862405653422077,0.9620726495726496
19,0.07138564341830236,0.978654970760234,0.20876167462621298,0.9446314102564102
20,0.07135986924289395,0.9779970760233919,0.15147882824660175,0.9606036324786325
21,0.045238061304761636,0.9857730263157894,0.13351616425982987,0.96875
22,0.04601986167682825,0.9845394736842106,0.12464048219844699,0.9729166666666667
23,0.04159265315594032,0.9874177631578948,0.1607452878728509,0.9586805555555555
24,0.03946414224019942,0.9872532894736842,0.14539091651095076,0.9721420940170941
25,0.03897960598149343,0.9866776315789474,0.12652900353035268,0.9708333333333333
26,0.036253683609835496,0.9888157894736842,0.1503835611937878,0.96875
27,0.03746019339774456,0.9877832602339182,0.15736401687997084,0.9640758547008547
28,0.0373801810497657,0.9887335526315789,0.15213870596457532,0.9717948717948719
29,0.03540427748228132,0.9893914473684211,0.13655600614664662,0.9717948717948719
30,0.03534494888502339,0.9885690789473685,0.1354417151152221,0.971875
31,0.03507650827404608,0.9888157894736842,0.15680928601779873,0.9676282051282052
32,0.0354820668802332,0.9889802631578948,0.17393590991786267,0.962767094017094
33,0.034154855933028506,0.9893092105263158,0.14405352267527227,0.9734508547008547
34,0.03655798867359025,0.9883223684210526,0.1628924840207522,0.9697115384615386
35,0.0329437509913987,0.9898848684210526,0.17434130026958883,0.9672008547008547
36,0.03535146460700688,0.9886513157894737,0.15011691462196824,0.9738782051282052
37,0.0309419963260313,0.9896381578947369,0.14477911947825406,0.9706730769230769
38,0.03336000979617989,0.9882401315789474,0.1310661775318699,0.9731837606837608
39,0.02745834203338913,0.9915296052631579,0.14986287074781204,0.9717147435897435
40,0.03330594034341151,0.9893914473684211,0.1490823449812726,0.9690170940170941
41,0.020871736954249126,0.9939967105263158,0.12029222937481891,0.9797809829059829
42,0.01667263912210106,0.9949835526315789,0.1401369056250486,0.9770833333333333
43,0.01794094762655349,0.9951480263157895,0.15004655903806755,0.9753472222222223
44,0.016753068789911164,0.9942434210526315,0.16641172761446796,0.9727564102564102
45,0.016786103780171552,0.9949835526315789,0.1544428186675456,0.9763087606837607
46,0.01875367200439924,0.9939144736842105,0.15702190898979704,0.9763888888888889
47,0.017862733495545208,0.9947368421052631,0.17567211916648376,0.9728365384615385
48,0.01755595233933754,0.9947368421052631,0.1612159859808849,0.9753472222222223
49,0.014660606007390399,0.9957602339181287,0.1652182421556467,0.9753472222222223
50,0.01427342682558638,0.9957236842105263,0.17677983401000447,0.9713675213675214
51,0.015814138999615437,0.9947368421052631,0.14980314630427327,0.9783119658119658
52,0.014526508903590614,0.9954769736842105,0.1725974687212632,0.9797809829059829
53,0.016041770098594928,0.9944901315789474,0.1733327416230572,0.9759615384615385
54,0.015563606200499921,0.9945723684210527,0.17941818331601098,0.9738782051282052
55,0.015781479791186076,0.9956414473684211,0.17203691837817636,0.9739583333333334
56,0.014052926913642912,0.9955592105263158,0.17562980659842853,0.9752670940170941
57,0.015893631862471874,0.9955592105263158,0.1864596505544695,0.971875
58,0.014618456471031263,0.9954769736842105,0.18684143835146946,0.9753472222222223
59,0.01480854614091078,0.9955592105263158,0.18003849776319436,0.9777777777777777
60,0.015214774345668047,0.9958059210526315,0.17687863840546925,0.9753472222222223
61,0.01054861474481066,0.9967927631578948,0.19107305210871142,0.976655982905983
62,0.007199319574204155,0.9978618421052632,0.19097646588051653,0.9763888888888889
63,0.009781793443493982,0.996875,0.18838415156755622,0.978125
64,0.009795342363904518,0.9972861842105263,0.18245762140448077,0.9778846153846155
65,0.008889876223438358,0.9972039473684211,0.19475212131906625,0.9711805555555556
66,0.008672848761857734,0.9971217105263158,0.18993075102828497,0.978125
67,0.00761281070438713,0.9975328947368421,0.1784662696935508,0.978125
68,0.007324634916708374,0.9975328947368421,0.1892788916303996,0.9742254273504274
69,0.008298505658568444,0.9974506578947369,0.17807079968200318,0.9762286324786325
70,0.008302442553608552,0.9978618421052632,0.1958178943501682,0.9763888888888889
71,0.008196197869286504,0.9972861842105263,0.17222577851805707,0.9777777777777777
72,0.007562642254916387,0.9981085526315789,0.1827372873554724,0.9777777777777777
73,0.008643183445930671,0.9974506578947369,0.19500569010544697,0.9756944444444444
74,0.009195858266969474,0.9975328947368421,0.18253058648086962,0.9763087606837607
75,0.008654752014287151,0.9974506578947369,0.17196783051351505,0.978125
76,0.007339617874349881,0.9981907894736842,0.19340774807618194,0.9770032051282052
77,0.0070068405990836805,0.9976973684210526,0.19107032975484295,0.9776976495726496
78,0.007824231363070198,0.9976973684210526,0.20938036772301227,0.9780448717948719
79,0.007818612276836378,0.9978618421052632,0.21601348933747633,0.9753472222222223
80,0.008220215005498606,0.9975328947368421,0.22508459206308343,0.9769230769230769
81,0.007174516876534654,0.9974506578947369,0.19067420275120336,0.9770032051282052
82,0.006946488481237399,0.9980263157894737,0.20768038390637633,0.9759615384615385
83,0.004762919032949759,0.9983552631578947,0.20584548235737102,0.9788194444444445
84,0.006392592943830783,0.9981451023391813,0.2147538533304113,0.9767361111111111
85,0.006272320064883648,0.9982730263157895,0.2157267937183153,0.9784722222222222
86,0.005653706675379579,0.9982730263157895,0.19287537448783243,0.9780448717948719
87,0.005529798441653168,0.9984375,0.21740391565561165,0.9752670940170941
88,0.005053230216715876,0.9984375,0.2060487979555546,0.9784722222222222
