epoch,train_loss,train_acc,test_loss,test_acc
1,1.0643034459728944,0.7423718591879683,0.8155847284528944,0.7660986223791398
2,0.5637405618633095,0.8354525828222085,0.5967085344923867,0.8165265466412926
3,0.40622568373617374,0.8716037281772546,0.42597376224067474,0.8595319177350427
4,0.35321383323324357,0.8847448025530542,0.4129173929492633,0.8638741517678286
5,0.31946105862918656,0.8953210841842562,0.37054463227589923,0.8756687653370392
6,0.3012662003306966,0.9004313240274351,0.36143967426485485,0.8766758062900641
7,0.2833850651195175,0.9059759218093247,0.7334425273868773,0.7774191310263087
8,0.26142778533853983,0.9121115656624064,0.33149240497085786,0.8935992509890825
9,0.2417138476120798,0.9167473196286207,0.300543886423111,0.8975306062616853
10,0.2377647154033184,0.9183997572514049,0.2963580204380883,0.9053148579393697
11,0.2276913271922814,0.9207371494226287,0.2925375637080934,0.9018225514990651
12,0.22045332634527431,0.9226254245691131,0.27462434205744,0.9097133538661859
13,0.21241563131150445,0.9249726724903485,0.298924853404363,0.903198503021501
14,0.2047583623740234,0.9273263853195816,0.2705363849798838,0.9086001795581263
15,0.20448554054294762,0.9273480331688597,0.2753658238384459,0.906189942971254
16,0.19713801112222043,0.9298921819318804,0.2996429607272148,0.9046872000408988
17,0.19134684367791602,0.9316257186800415,0.338152762916353,0.8939612103323651
18,0.1969840254438551,0.9299396849515145,0.25825368935863174,0.9140280307867588
19,0.19745946116745472,0.9303781699018869,0.26521305938561757,0.9114158695579593
20,0.1811007158340592,0.9353608070061221,0.25154583818382686,0.9147687341412927
21,0.16791540050977155,0.9393919203016492,0.22922017375628154,0.9204836071047009
22,0.15962379270870436,0.9418734411050004,0.22118579513496822,0.9239469479291866
23,0.15742288220085596,0.9422057436223615,0.23610532962613637,0.9201624030740851
24,0.15490577703243807,0.9432764599894919,0.22833461513121922,0.9239077706622262
25,0.15255325026810168,0.9440986856382493,0.225941425230768,0.9246912507929353
26,0.15145505517721175,0.9443099574038857,0.2229691401951843,0.9265691643087274
27,0.14755057837618024,0.9457898279379684,0.24482960485749775,0.9185788928952991
28,0.15013243775618704,0.9451489900287829,0.24893016177746985,0.9201292901976497
29,0.1443008767538949,0.9469005383943256,0.24799025944537587,0.9180795522836538
30,0.1417596250968544,0.9474951359263638,0.22751965075731279,0.92560792580629
31,0.14275391784153488,0.9474487170838474,0.22215617042448785,0.9269442305605635
32,0.13937655487342884,0.9481506570737962,0.22585048319564927,0.9261389186239649
33,0.1374377158323401,0.9490283006813094,0.2252289742231369,0.9260164831438635
34,0.13674962277475156,0.9491450125711006,0.22400425655974282,0.9267169919788328
35,0.13437408979393933,0.9498358832465278,0.22997057123316658,0.924666015103332
36,0.1343185160701212,0.9501536720677426,0.22633663564920425,0.9269777216463008
37,0.13298927420064022,0.9506252801906295,0.22056207888656193,0.9277780907785791
38,0.13082185873859806,0.9512572439093339,0.23261115252971648,0.9249141595302484
39,0.1323518177004237,0.9509106016995613,0.2248905866510338,0.9269750089726897
40,0.12782844779522795,0.952193754318862,0.24246326767736012,0.9234557583800748
41,0.121145529809751,0.9547131990131579,0.2168068250020345,0.9292550633096288
42,0.1184552046813463,0.9556957802577325,0.22076398813062245,0.9287676167284322
43,0.11735605262219906,0.9561006155627512,0.22356004491448403,0.9294338650173611
44,0.11650826911392966,0.9563946283351608,0.21879035896725124,0.9300322182158121
45,0.11497723497450352,0.9569265265213815,0.2225262641078896,0.9294048994015425
46,0.11463261478041348,0.9569626880668061,0.21989262070920731,0.9291813124958267
47,0.11437443573223917,0.9571454187582809,0.22468592781159613,0.9300255017402844
48,0.1133080776388708,0.957532675224438,0.22298607478539148,0.929168205587273
49,0.11226009889260719,0.9578883522435239,0.22287810146808623,0.9298775827782786
50,0.110972276349601,0.9583859672323305,0.22021634123391576,0.930536110380776
