epoch,train_loss,train_acc,test_loss,test_acc
1,1.3821061513925854,0.6135314495242826,0.5217980828550127,0.8291696923410791
2,0.3640190723695253,0.875898483900996,0.3347337911526362,0.8802073943309295
3,0.28679675722592757,0.8994793451320358,0.3153249416086409,0.8863496698884883
4,0.2598155571834037,0.9075176038240131,0.266423523094919,0.9038627428886219
5,0.24361216751368422,0.9125703242787143,0.2654397151536412,0.9052993122329059
6,0.23059796196849722,0.9171608461971172,0.2701966603597005,0.9012500991169204
7,0.22201902193850592,0.9206324170207419,0.2312536981370714,0.9173498430822649
8,0.21354004856395095,0.9233425028840004,0.23290321114990448,0.916013903495593
9,0.20425118976517728,0.9268236929910225,0.23853466974364387,0.9143472003121662
10,0.20302657620295098,0.9271788033825613,0.2281206296549903,0.918643058059562
11,0.19794212934610092,0.9292025114360608,0.23038866089449989,0.9161033956413595
12,0.19249428747908065,0.9305436251456278,0.21777841746807097,0.9198356432792468
13,0.19010284862628107,0.9319081981279697,0.22263544847567876,0.9190947442992121
14,0.1863607708364725,0.9330365543477018,0.21282981385787328,0.9236365685096154
15,0.18447528554028586,0.9337118851511101,0.20683403097920947,0.9252264039129274
16,0.18036578536817902,0.9352626510530884,0.2082214647697078,0.9256492940788594
17,0.17856095415589057,0.9356508489240679,0.2041626329223315,0.9272263225327191
18,0.1756024216350756,0.9366506476151316,0.20769095404280558,0.924252449752938
19,0.17304626156232858,0.9374432926289519,0.20224999412894248,0.9265188624716212
20,0.17158933491691164,0.938177588390328,0.19332196629709666,0.9309591961722088
21,0.16007647439837455,0.9419126276384321,0.18592226372824774,0.9329560891175881
22,0.1577012563418401,0.9426937884057475,0.1873102564778593,0.9322979788494925
23,0.15611685188977342,0.9431704515602157,0.18603845602936214,0.9331454546023638
24,0.15545542149951583,0.9434269687585662,0.19086874913838175,0.9315235887837205
25,0.15436702458874174,0.9439679062157347,0.18712785459227033,0.9335141956296741
26,0.15302243948374925,0.9441621390002513,0.18546550389793184,0.9336186074803018
27,0.15207867504734743,0.9445820323207923,0.18299088593986299,0.9333001552483975
28,0.15043493221072773,0.9452161019308525,0.1832534277604686,0.9340086064786992
29,0.15009151852052463,0.945393755282575,0.18722595903608535,0.932500516451322
30,0.1495452719299417,0.9455382676152457,0.18443271468083064,0.9338495759882478
31,0.14859404944275556,0.9458364743238303,0.18532151579856873,0.9337164463141026
32,0.14664991033312522,0.9463249251159311,0.18775193575355742,0.9336457602998129
33,0.14635389855033473,0.9466698629814281,0.18173774580160776,0.9357826689369658
34,0.14647138716751024,0.9465565374720166,0.18994196984503003,0.9327832605084801
35,0.14544523985762345,0.9470852768212035,0.18433547582891252,0.9345460810213008
