epoch,train_loss,train_acc,test_loss,test_acc
1,1.5386010781898127,0.6036130809979494,0.8972493715775318,0.7243589743589743
2,0.7787301652617269,0.7716752819548872,0.6623101299389814,0.7992788461538461
3,0.6453405579479484,0.8035981288448394,0.6124370717085325,0.8072916666666666
4,0.561975379462366,0.8277138157894737,0.6635617201144879,0.7796474358974359
5,0.5203632354107383,0.8377264183185236,0.5670021864084097,0.827323717948718
6,0.4689253153303614,0.8550388755980861,0.5618423475668981,0.8125
7,0.44071399021361557,0.8612546992481203,0.5331469697830005,0.8329326923076923
8,0.4303471701969574,0.8612653793574846,0.49216613001548326,0.8529647435897436
9,0.4204844406430984,0.8648485560492141,0.45353260674537754,0.8553685897435898
10,0.3938941947341739,0.8737130468215993,0.4156582563733443,0.8689903846153846
11,0.3869536446238106,0.8740815105946685,0.4331034779166564,0.860176282051282
12,0.3820729490321178,0.8778355690362271,0.40623267537627655,0.8701923076923077
13,0.3605353410609744,0.8880831339712919,0.48001758887981755,0.8441506410256411
14,0.3574585239221523,0.8842970352016405,0.4000982640382762,0.8774038461538461
15,0.34918379613089484,0.8860539131920712,0.4827236030728389,0.8413461538461539
16,0.348158204250715,0.8894395078605604,0.4019617356168918,0.8766025641025641
17,0.347559138189082,0.8841955741626795,0.4032703615151919,0.8814102564102564
18,0.3339879579309906,0.8892365857826383,0.34877373865590644,0.8930288461538461
19,0.3050453577601871,0.9019192156527682,0.37024921083297485,0.8870192307692307
20,0.32570091045957494,0.8967447026657552,0.38677087034552526,0.8834134615384616
21,0.2451537682057975,0.916700487012987,0.2878471211745189,0.9098557692307693
22,0.22319099185504504,0.924614448051948,0.2717155857632558,0.9150641025641025
23,0.22481794106205563,0.9259975222146275,0.3121071327955295,0.8962339743589743
24,0.21008999051840663,0.9291748547505128,0.3059627900052314,0.9058493589743589
25,0.2104682567493095,0.9294151572112097,0.3095222380585395,0.9026442307692307
26,0.20037003729020716,0.932891532809296,0.3111932473973586,0.8958333333333334
27,0.21397060770904283,0.9315084586466166,0.30877974323737317,0.9030448717948718
28,0.201461960622049,0.9317167207792207,0.33077788911759853,0.8994391025641025
29,0.2047711343069065,0.9313375768967874,0.3357577170125949,0.8982371794871795
30,0.19470030327883925,0.9363785885167465,0.30882040552126294,0.9110576923076923
31,0.20224755767176483,0.9322560663021189,0.29660275516410667,0.907051282051282
32,0.1890992404191525,0.9362130468215993,0.3163870910230355,0.9010416666666666
33,0.19764665994406133,0.9348139524948735,0.2855886184216405,0.9142628205128205
34,0.19094312662113602,0.9347231715652768,0.26900370829762554,0.9170673076923077
35,0.18558995418141705,0.9372596975393028,0.3305097639274139,0.8954326923076923
36,0.17320558199259853,0.9416225222146275,0.3237680846299881,0.8930288461538461
37,0.17804787551996287,0.9381728468899522,0.3104406812061102,0.9050480769230769
38,0.17346172999173354,0.9413555194805194,0.32565019923286176,0.9006410256410257
39,0.17383142688928485,0.940404989747095,0.29513175745840925,0.9098557692307693
40,0.17774237285507238,0.937836423444976,0.29715084353796184,0.9106570512820513
41,0.13956359692837123,0.9520409688995214,0.2847670956204335,0.9102564102564102
42,0.12867095985891322,0.9552183014354066,0.28427456376644283,0.9162660256410257
43,0.12525005159028746,0.955997949419002,0.3022684292055858,0.9026442307692307
44,0.12281664948481098,0.9582300922761449,0.2981193210356511,0.9058493589743589
45,0.11807521095487301,0.9594102443609024,0.29390428494662046,0.9106570512820513
46,0.11387810921417428,0.9616477272727273,0.29499775821414703,0.9154647435897436
47,0.11159765866718122,0.9621550324675324,0.2892106411596521,0.9126602564102564
48,0.1174699720857036,0.9594155844155844,0.27879053139342713,0.9186698717948718
49,0.10885404067736894,0.9616797676008202,0.28817768685089856,0.9178685897435898
50,0.10746562362999304,0.9634046052631577,0.2759416728065564,0.9206730769230769
